id,from,to,article_ids,weight
1161,Công an tỉnh Yên Bái,tỉnh Bến Tre,[50],1
1162,Công an xã Thành Triệu,Công an huyện Châu Thành,[57],1
1163,Công an xã Thành Triệu,Công an tỉnh Bến Tre,[57],1
1164,Công ty Bảo Tín Minh Châu Rồng Thăng Long,Bảo Tín Minh Châu,[18],1
1165,Công ty Bảo Tín Minh Châu Rồng Thăng Long,Ngân hàng BIDV,[18],1
1166,Công ty Bảo Tín Minh Châu Rồng Thăng Long,Ngân hàng Eximbank,[18],1
1167,Công ty Bảo Tín Minh Châu Rồng Thăng Long,Ngân hàng Nhà nước,[18],1
1168,Công ty Bảo Tín Minh Châu Rồng Thăng Long,Ngân hàng Vietcombank,[18],1
1169,Công ty Bảo Tín Minh Châu Rồng Thăng Long,Vietnam +,[18],1
1170,Công ty Bảo Tín Minh Châu Rồng Thăng Long,Đức Duy,[18],1
1171,Công ty Doji,Bảo Tín Minh Châu,[18],1
1172,Công ty Doji,Công ty Bảo Tín Minh Châu Rồng Thăng Long,[18],1
1173,Công ty Doji,Công ty Phú Quý,[18],1
1174,Công ty Doji,Hà Nội,[18],1
1175,Công ty Doji,Ngân hàng BIDV,[18],1
1176,Công ty Doji,Ngân hàng Eximbank,[18],1
1177,Công ty Doji,Ngân hàng Nhà nước,[18],1
1178,Công ty Doji,Ngân hàng Vietcombank,[18],1
1179,Công ty Doji,Vietnam +,[18],1
1180,Công ty Doji,Đức Duy,[18],1
1181,Công ty Framatome,Annalena Baerbock,[113],1
1182,Công ty Framatome,Dmitry Kuleba,[113],1
1183,Công ty Framatome,Robert Habeck,[113],1
1184,Công ty Framatome,Siemens Energy,[113],1
1185,Công ty Framatome,Viktor Orban,[113],1
1186,Công ty Nestlé Việt Nam,Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,[0],1
1187,Công ty Nestlé Việt Nam,Bắc Giang,[0],1
1188,Công ty Nestlé Việt Nam,Bộ Kế hoạch và Đầu tư,[0],1
1189,Công ty Nestlé Việt Nam,Công ty TNHH Fulian,[0],1
1190,Công ty Nestlé Việt Nam,Cục Đầu tư nước ngoài,[0],1
1191,Công ty Nestlé Việt Nam,Hainan Longi Green Energy Technology Company Limited,[0],1
1192,Công ty Nestlé Việt Nam,Ingrasys Pte . Ltd,[0],1
1193,Công ty Nestlé Việt Nam,Lê Ánh Dương,[0],1
1194,Công ty Nestlé Việt Nam,Nguyễn Chí Dũng,[0],1
1195,Công ty Nestlé Việt Nam,Nhà máy công nghệ chính xác Fulian,[0],1
1196,Công ty Nestlé Việt Nam,Sputnik Việt Nam,[0],1
1197,Công ty Nestlé Việt Nam,Việt Nam,[0],1
1198,Công ty Nestlé Việt Nam,Đồng Nai,[0],1
1199,Công ty Nestlé Việt Nam,Đỗ Nhất Hoàng,[0],1
1200,Công ty Nestlé Việt Nam,Ủy ban Nhân dân tỉnh Bắc Giang,[0],1
1201,Công ty Phú Quý,Bảo Tín Minh Châu,[18],1
1202,Công ty Phú Quý,Công ty Bảo Tín Minh Châu Rồng Thăng Long,[18],1
1203,Công ty Phú Quý,Ngân hàng BIDV,[18],1
1204,Công ty Phú Quý,Ngân hàng Eximbank,[18],1
1205,Công ty Phú Quý,Ngân hàng Nhà nước,[18],1
1206,Công ty Phú Quý,Ngân hàng Vietcombank,[18],1
1207,Công ty Phú Quý,Vietnam +,[18],1
1208,Công ty Phú Quý,Đức Duy,[18],1
1209,Công ty Quản lý tài sản,Colin Cieszynski,[19],1
1210,Công ty Quản lý tài sản,SIA Wealth Management,[19],1
1211,Công ty TNHH Công nghệ Jinko Solar Việt Nam,Công ty TNHH may mặc Hoa Lợi Đạt,[59],1
1212,Công ty TNHH Công nghệ Jinko Solar Việt Nam,Khu công nghiệp Hải Hà,[59],1
1213,Công ty TNHH Công nghệ Jinko Solar Việt Nam,Móng Cá,[59],1
1214,Công ty TNHH Công nghệ Jinko Solar Việt Nam,Quảng Ninh,[59],1
1215,Công ty TNHH Công nghệ Jinko Solar Việt Nam,Trung Quốc,[59],1
1216,Công ty TNHH Công nghệ Jinko Solar Việt Nam,Việt Nam,[59],1
1217,Công ty TNHH Dệt may Weitai Hạ Long,Công ty TNHH Công nghệ Jinko Solar Việt Nam,[59],1
1218,Công ty TNHH Dệt may Weitai Hạ Long,Công ty TNHH may mặc Hoa Lợi Đạt,[59],1
1219,Công ty TNHH Dệt may Weitai Hạ Long,Khu công nghiệp Hải Hà,[59],1
1220,Công ty TNHH Dệt may Weitai Hạ Long,Khu công nghiệp Việt Hưng,[59],1
1221,Công ty TNHH Dệt may Weitai Hạ Long,Móng Cá,[59],1
1222,Công ty TNHH Dệt may Weitai Hạ Long,Quảng Ninh,[59],1
1223,Công ty TNHH Dệt may Weitai Hạ Long,TP Hạ Long,[59],1
1224,Công ty TNHH Dệt may Weitai Hạ Long,Trung Quốc,[59],1
1225,Công ty TNHH Dệt may Weitai Hạ Long,Việt Nam,[59],1
1226,Công ty TNHH Dệt may Weitai Hạ Long,Zhang Shu Xia,[59],1
1227,Công ty TNHH Fulian,Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,[0],1
1228,Công ty TNHH Fulian,Hainan Longi Green Energy Technology Company Limited,[0],1
1229,Công ty TNHH Fulian,Lê Ánh Dương,[0],1
1230,Công ty TNHH Fulian,Nguyễn Chí Dũng,[0],1
1231,Công ty TNHH Fulian,Ủy ban Nhân dân tỉnh Bắc Giang,[0],1
1232,Công ty TNHH MTV Khai thác công trình thủy lợi Tiền Giang,Gò Công Tây,[15],1
1233,Công ty TNHH MTV Khai thác công trình thủy lợi Tiền Giang,Hàm Luông,[15],1
1234,Công ty TNHH MTV Khai thác công trình thủy lợi Tiền Giang,Năm Thôn,[15],1
1235,Công ty TNHH MTV Khai thác công trình thủy lợi Tiền Giang,huyện Gò Công Đông,[15],1
1236,Công ty TNHH may mặc Hoa Lợi Đạt,Khu công nghiệp Hải Hà,[59],1
1237,Công ty TNHH may mặc Hoa Lợi Đạt,Móng Cá,[59],1
1238,Công ty TNHH may mặc Hoa Lợi Đạt,Quảng Ninh,[59],1
1239,Công ty TNHH may mặc Hoa Lợi Đạt,Trung Quốc,[59],1
1240,Công ty TNHH may mặc Hoa Lợi Đạt,Việt Nam,[59],1
1241,Công ty Vàng bạc đá quý Phú Quý,Colin Cieszynski,[19],1
1242,Công ty Vàng bạc đá quý Phú Quý,Công ty Quản lý tài sản,[19],1
1243,Công ty Vàng bạc đá quý Phú Quý,Cục Dự trữ Liên bang Mỹ,[19],1
1244,Công ty Vàng bạc đá quý Phú Quý,SIA Wealth Management,[19],1
1245,Công ty Vàng bạc đá quý Sài Gòn,Colin Cieszynski,[19],1
1246,Công ty Vàng bạc đá quý Sài Gòn,Công ty Quản lý tài sản,[19],1
1247,Công ty Vàng bạc đá quý Sài Gòn,Công ty Vàng bạc đá quý Phú Quý,[17],1
1248,Công ty Vàng bạc đá quý Sài Gòn,Cục Dự trữ Liên bang Mỹ,[19],1
1249,Công ty Vàng bạc đá quý Sài Gòn,SIA Wealth Management,[19],1
1250,Công ty công nghệ Stripe,Berkeley Earth,[95],1
1251,Công ty công nghệ Stripe,Nam Phi,[95],1
1252,Công ty công nghệ Stripe,Rob Jackson,[95],1
1253,Công ty công nghệ Stripe,Đại học Brown,[95],1
1254,Công ty công nghệ Stripe,Đại học Stanford,[95],1
1255,Công ty nghiên cứu TGM,Bình Thuận,[52],1
1256,Công ty nghiên cứu TGM,Bùi Xuân Cường,[52],1
1257,Công ty nghiên cứu TGM,Bộ Y tế,[52],1
1258,Công ty nghiên cứu TGM,LÊ NAM,[52],1
1259,Công ty nghiên cứu TGM,TP Hà Nội,[52],1
1260,Công ty nghiên cứu TGM,UBND TP . HCM,[52],1
1261,Công ty nghiên cứu TGM,UBND quận Tân Bình,[52],1
1262,Công ty nghiên cứu TGM,kênh A41,[52],1
1263,Công ty nghiên cứu TGM,phường 4,[52],1
1264,Công ty nghiên cứu TGM,quận Tân Bình,[52],1
1265,Công ty nghiên cứu TGM,sân bay Tân Sơn Nhất,[52],1
1266,Công ty nghiên cứu TGM,thành phố Phan Thiết,[52],1
1267,Công ty thương mại XTX Markets,Chỉ số Tỉ phú,[91],1
1268,Công ty thương mại XTX Markets,New York,[91],1
1269,Công ty thương mại XTX Markets,Ấn Độ,[91],1
1270,Công ty vàng bạc đá quý Sài Gòn,Bảo Tín Minh Châu,[18],1
1271,Công ty vàng bạc đá quý Sài Gòn,Công ty Bảo Tín Minh Châu Rồng Thăng Long,[18],1
1272,Công ty vàng bạc đá quý Sài Gòn,Công ty Doji,[18],1
1273,Công ty vàng bạc đá quý Sài Gòn,Công ty Phú Quý,[18],1
1274,Công ty vàng bạc đá quý Sài Gòn,Hà Nội,[18],1
1275,Công ty vàng bạc đá quý Sài Gòn,Ngân hàng BIDV,[18],1
1276,Công ty vàng bạc đá quý Sài Gòn,Ngân hàng Eximbank,[18],1
1277,Công ty vàng bạc đá quý Sài Gòn,Ngân hàng Nhà nước,[18],1
1278,Công ty vàng bạc đá quý Sài Gòn,Ngân hàng Vietcombank,[18],1
1279,Công ty vàng bạc đá quý Sài Gòn,Vietnam +,[18],1
1280,Công ty vàng bạc đá quý Sài Gòn,Đức Duy,[18],1
1281,Công viên Bryant,Anne Hansen,[83],1
1282,Công viên Bryant,Cơ quan Thời tiết Quốc gia Mỹ,[83],1
1283,Công viên Bryant,Nelson Vaz,[83],1
1284,Công viên Bryant,Renata Romain,[83],1
1285,Công viên Bryant,Thành phố New York,[83],1
1286,Công viên Bryant,bang New York,[83],1
1287,Công viên Bryant,thành phố New York,[83],1
1288,Công viên Bryant,Đại Tây Dương,[83],1
1289,Công viên Quốc gia Yellowstone,Bắc Băng Dương,[116],1
1290,Công viên Quốc gia Yellowstone,núi lửa St,[116],1
1291,Công viên Trung tâm,Anne Hansen,[83],1
1292,Công viên Trung tâm,Công viên Bryant,[83],1
1293,Công viên Trung tâm,Cơ quan Thời tiết Quốc gia Mỹ,[83],1
1294,Công viên Trung tâm,Nelson Vaz,[83],1
1295,Công viên Trung tâm,Renata Romain,[83],1
1296,Công viên Trung tâm,Thành phố New York,[83],1
1297,Công viên Trung tâm,bang New York,[83],1
1298,Công viên Trung tâm,thành phố New York,[83],1
1299,Công viên Trung tâm,Đại Tây Dương,[83],1
1300,Công đoàn lao động WGA East,Fred Ryan,[109],1
1301,Công đoàn lao động WGA East,HBO Max,[109],1
1302,Công đoàn lao động WGA East,Nancy Dubuc,[109],1
1303,Công đoàn lao động WGA East,Naveen Sarma,[109],1
1304,Công đoàn lao động WGA East,P Global Rating,[109],1
1305,Công đoàn lao động WGA East,Vice Media,[109],1
1306,Công đoàn lao động WGA East,Warner Media,[109],1
1307,Công đoàn lao động WGA East,Washington Post Magazine,[109],1
1308,Công đoàn lao động WGA East,tờ Washington Post,[109],1
1309,Cơ quan Dịch vụ Cứu hỏa và Khẩn cấp Australia,DFES Country North,[112],1
1310,Cơ quan Dịch vụ Cứu hỏa và Khẩn cấp Australia,David Gill,[112],1
1311,Cơ quan Hàng không Vũ trụ Mỹ,Bill Nelson,[101],1
1312,Cơ quan Hàng không Vũ trụ Mỹ,Bob Pearce,[101],1
1313,Cơ quan Hàng không Vũ trụ Mỹ,Joe Biden,[101],1
1314,Cơ quan Hàng không Vũ trụ Mỹ,Todd Citron,[101],1
1315,Cơ quan Hàng không Vũ trụ Mỹ,Transonic Trus Wing,[101],1
1316,Cơ quan Năng lượng Quốc tế,Châu Á,[114],1
1317,Cơ quan Năng lượng Quốc tế,Pamela Munger,[114],1
1318,Cơ quan Năng lượng Quốc tế,Trung Đông,[114],1
1319,Cơ quan Thời tiết Quốc gia Mỹ,Nelson Vaz,[83],1
1320,Cơ quan Thời tiết Quốc gia Mỹ,Thành phố New York,[83],1
1321,Cơ quan Thời tiết Quốc gia Mỹ,bang New York,[83],1
1322,Cơ quan Thời tiết Quốc gia Mỹ,Đại Tây Dương,[83],1
1323,Cơ sở Tín hiệu Quân đội Khẩn cấp,John Diefenbaker,[115],1
1324,Cơ sở Tín hiệu Quân đội Khẩn cấp,Justin Trudeau,[115],1
1325,Cơ sở Tín hiệu Quân đội Khẩn cấp,Mỹ hội Mỹ,[115],1
1326,Cơ sở Tín hiệu Quân đội Khẩn cấp,New York Times,[115],1
1327,Cơ sở Tín hiệu Quân đội Khẩn cấp,Pierre Elliott Trudeau,[115],1
1328,Cơ sở Tín hiệu Quân đội Khẩn cấp,Trạm Lực lượng Canada Carp,[115],1
1329,Cơ sở Tín hiệu Quân đội Khẩn cấp,Trụ sở Chính phủ Khẩn cấp Trung ương,[115],1
1330,Cơ sở Tín hiệu Quân đội Khẩn cấp,Tây Virginia,[115],1
1331,Cần Thơ,Bộ Công Thương,[9],1
1332,Cần Thơ,Bộ Tài nguyên và Môi trường,[67],1
1333,Cần Thơ,Cà Mau,[67],1
1334,Cần Thơ,Hoàng Ánh Dương,[9],1
1335,Cần Thơ,Hoàng Ánh Dương Quản lý thị trường,[10],1
1336,Cần Thơ,Hà Tĩnh,[67],1
1337,Cần Thơ,Hậu Giang,[67],1
1338,Cần Thơ,Khánh Hòa,[67],1
1339,Cần Thơ,Sóc Trăng,[67],1
1340,Cần Thơ,Thúy Hiền,[10],1
1341,Cần Thơ,Trần Hồng Hà,[67],1
1342,Cần Thơ,Tổng cục Quản lý thị trường,[9],1
1343,Cần Thơ,Tổng cục Thống kê,[13],1
1344,Cần Thơ,UBND các tỉnh An Giang,[67],1
1345,Cần Thơ,Vietnam +,[10],1
1346,Cần Thơ,Việt Nam,[9],1
1347,Cần Thơ,Vĩnh Long,[67],1
1348,Cần Thơ,cao tốc Bắc - Nam,[67],1
1349,Cần Thơ,cao tốc Bắc Nam,[67],1
1350,Cần Thơ,sông Hậu,[67],1
1351,Cần Thơ,sông Tiền,[67],1
1352,Cần Thơ,tỉnh An Giang,[67],1
1353,Cần Thơ,tỉnh Vĩnh Long,[67],1
1354,Cần Thơ,Đồng Tháp,[67],1
1355,Cần Thơ,đường cao tốc Bắc - Nam,[67],1
1356,Cục An ninh Tây Nam Bộ,Công an Cà Mau,[50],1
1357,Cục An ninh Tây Nam Bộ,Công an huyện Ngọc Hiển,[50],1
1358,Cục An ninh Tây Nam Bộ,Công an thành phố Cà Mau,[50],1
1359,Cục Chống Tham nhũng Quốc gia Ukraina,Aleksey Arestovich,[108],1
1360,Cục Chống Tham nhũng Quốc gia Ukraina,Bộ Công nghiệp Chiến lược,[108],1
1361,Cục Chống Tham nhũng Quốc gia Ukraina,Bộ Năng lượng,[108],1
1362,Cục Chống Tham nhũng Quốc gia Ukraina,Bộ Phát triển Cộng đồng,[108],1
1363,Cục Chống Tham nhũng Quốc gia Ukraina,Bộ Thanh niên và Thể thao,[108],1
1364,Cục Chống Tham nhũng Quốc gia Ukraina,German Galushchenko,[108],1
1365,Cục Chống Tham nhũng Quốc gia Ukraina,Ivan Lukerya,[108],1
1366,Cục Chống Tham nhũng Quốc gia Ukraina,Pavel Khalimon,[108],1
1367,Cục Chống Tham nhũng Quốc gia Ukraina,Pavel Ryabikin,[108],1
1368,Cục Chống Tham nhũng Quốc gia Ukraina,Vadim Gutzeit,[108],1
1369,Cục Chống Tham nhũng Quốc gia Ukraina,Vasiliy Lozinsky,[108],1
1370,Cục Chống Tham nhũng Quốc gia Ukraina,phương Tây,[108],1
1371,Cục Chống Tham nhũng Quốc gia Ukraina,đảng Đầy tớ của Nhân dân,[108],1
1372,Cục Chống Tham nhũng Quốc gia Ukraina,Ủy ban Olympic Quốc gia Ukraina,[108],1
1373,Cục Cảnh sát quản lý hành chính về trật tự xã hội,Bộ Công an,[62],1
1374,Cục Dự trữ Liên bang Mỹ,Fed nhóm họp,[7],1
1375,Cục Dự trữ Liên bang Mỹ,Hang Seng,[7],1
1376,Cục Dự trữ Liên bang Mỹ,Hong Kong,[7],1
1377,Cục Dự trữ Liên bang Mỹ,Janet Yellen,[7],1
1378,Cục Dự trữ Liên bang Mỹ,Ngân hàng Trung ương châu Âu,[7],1
1379,Cục Dự trữ Liên bang Mỹ,Ngân hàng trung ương Anh,[7],1
1380,Cục Dự trữ Liên bang Mỹ,Shanghai Composite,[7],1
1381,Cục Dự trữ Liên bang Mỹ,Thượng Hải,[7],1
1382,Cục Dự trữ Liên bang Mỹ,Trung Quốc,[7],1
1383,Cục Dự trữ Liên bang Mỹ,VN Index,[7],1
1384,Cục Dự trữ Liên bang Mỹ,Bắc Mỹ,[86],1
1385,Cục Dự trữ Liên bang Mỹ,Capital Economics,[86],1
1386,Cục Dự trữ Liên bang Mỹ,Colin Cieszynski,[19],1
1387,Cục Dự trữ Liên bang Mỹ,Công ty Quản lý tài sản,[19],1
1388,Cục Dự trữ Liên bang Mỹ,High Frequency Economics,[86],1
1389,Cục Dự trữ Liên bang Mỹ,Ian Shepherdson,[86],1
1390,Cục Dự trữ Liên bang Mỹ,Jeffrey Roach,[86],1
1391,Cục Dự trữ Liên bang Mỹ,Jerome Powell,[86],1
1392,Cục Dự trữ Liên bang Mỹ,LPL Financial,[86],1
1393,Cục Dự trữ Liên bang Mỹ,Madhavi Bokil,[86],1
1394,Cục Dự trữ Liên bang Mỹ,Moody ' s,[86],1
1395,Cục Dự trữ Liên bang Mỹ,Moody ' s Investors Service,[86],1
1396,Cục Dự trữ Liên bang Mỹ,Pantheon Macroeconomics,[86],1
1397,Cục Dự trữ Liên bang Mỹ,Paul Ashworth,[86],1
1398,Cục Dự trữ Liên bang Mỹ,Rubeela Farooqi,[86],1
1399,Cục Dự trữ Liên bang Mỹ,SIA Wealth Management,[19],1
1400,Cục Dự trữ Liên bang Mỹ,Việt Nam,[81],1
1401,Cục Dự trữ Liên bang Mỹ,Đại học Michigan,[86],1
1402,Cục Dự trữ Liên bang Mỹ,Ấn Độ,[81],1
1403,Cục Lưu trữ quốc gia,Bộ Tư pháp,[87],1
1404,Cục Lưu trữ quốc gia,Bộ Tư pháp Mỹ,[87],1
1405,Cục Quản lý Xuất nhập cảnh Trung Quốc,Tân Hoa Xã,[104],1
1406,Cục khí tượng Hàn Quốc,Cung điện Gyeongbokgung,[89],1
1407,Cục khí tượng Hàn Quốc,Hàn Quốc,[89],1
1408,Cục khí tượng Hàn Quốc,Trung Á,[89],1
1409,Cục khí tượng Hàn Quốc,Uỷ ban Liên chính phủ về Biến đổi Khí hậu,[89],1
1410,Cục khí tượng Hàn Quốc,thủ đô Bắc Kinh,[89],1
1411,Cục Đăng kiểm Việt Nam,Khuất Duy Thịnh,[60],1
1412,Cục Đăng kiểm Việt Nam,Sở Giao thông vận tải TP . HCM,[60],1
1413,Cục Đăng kiểm Việt Nam,Trung tâm đăng 50 - 01S,[60],1
1414,Cục Đăng kiểm Việt Nam,Trung tâm đăng kiểm 50 - 02S,[60],1
1415,Cục Đăng kiểm Việt Nam,Trung tâm đăng kiểm 50 - 03S,[60],1
1416,Cục Đăng kiểm Việt Nam,Trung tâm đăng kiểm 50 - 05V,[60],1
1417,Cục Đăng kiểm Việt Nam,quận 11,[60],1
1418,Cục Đăng kiểm Việt Nam,quận Bình Tân,[60],1
1419,Cục Đăng ký kinh doanh,Bộ Công an,[4],1
1420,Cục Đăng ký kinh doanh,Bộ Kế hoạch và Đầu tư,[4],1
1421,Cục Đăng ký kinh doanh,Bộ Thông tin và Truyền thông,[4],1
1422,Cục Đăng ký kinh doanh,Bộ Xây dựng,[8],1
1423,Cục Đăng ký kinh doanh,Ngân hàng nhà nước Việt Nam,[4],1
1424,Cục Đăng ký kinh doanh,Thu Hằng,[4],1
1425,Cục Đăng ký kinh doanh,Tuấn Anh,[4],1
1426,Cục Đăng ký kinh doanh,Vietnam +,[4],1
1427,Cục Đầu tư nước ngoài,Ban Quản lý các khu công nghiệp tỉnh Bắc Giang,[0],1
1428,Cục Đầu tư nước ngoài,Bắc Giang,[0],1
1429,Cục Đầu tư nước ngoài,Bộ Kế hoạch và Đầu tư,[0],1
1430,Cục Đầu tư nước ngoài,Công ty TNHH Fulian,[0],1
1431,Cục Đầu tư nước ngoài,Hainan Longi Green Energy Technology Company Limited,[0],1
1432,Cục Đầu tư nước ngoài,Ingrasys Pte . Ltd,[0],1
1433,Cục Đầu tư nước ngoài,Lê Ánh Dương,[0],1
1434,Cục Đầu tư nước ngoài,Nguyễn Chí Dũng,[0],1
1435,Cục Đầu tư nước ngoài,Nhà máy công nghệ chính xác Fulian,[0],1
1436,Cục Đầu tư nước ngoài,Đỗ Nhất Hoàng,[0],1
1437,Cục Đầu tư nước ngoài,Ủy ban Nhân dân tỉnh Bắc Giang,[0],1
1438,DUYÊN PHAN phủ,Bộ Công Thương,[73],1
1439,DUYÊN PHAN phủ,Bộ Công an,[73],1
1440,DUYÊN PHAN phủ,Bộ Thông tin và Truyền thông,[73],1
1441,DUYÊN PHAN phủ,Bộ Tư pháp,[73],1
1442,DUYÊN PHAN phủ,HẢI KIM,[73],1
1443,DUYÊN PHAN phủ,NGỌC THÀNH,[73],1
1444,DUYÊN PHAN phủ,Phan Thị Thắng,[73],1
1445,DUYÊN PHAN phủ,Trần Lưu Quang,[73],1
1446,DUYÊN PHAN phủ,Ủy ban Quốc gia,[73],1
1447,Dan Scavino,Ron DeSantis,[99],1
1448,Dante Scala,New York,[90],1
1449,Dante Scala,người Mỹ,[90],1
1450,Dante Scala,Đại học New Hampshire,[90],1
1451,Dante Scala,Đảng Cộng hòa hòa,[90],1
1452,David Beckham,Entertainment Tonight,[24],1
1453,David Beckham,Jennifer Lopez,[24],1
1454,David Beckham,Liun Manuel Miranda,[24],1
1455,David Beckham,Luis Fonsi,[24],1
1456,David Beckham,Mark Anthony,[24],1
1457,David Beckham,Salma Hayek,[24],1
1458,David Beckham,nhà hàng Sexy Fish,[24],1
1459,David Beckham,tờ Hola,[24],1
1460,David Gill,DFES Country North,[112],1
1461,David Pike,Cơ quan Hàng không Dân dụng Vương quốc Anh,[85],1
1462,David Pike,Mike Pink,[85],1
1463,David Pike,công ty tư vấn tài chính,[85],1
1464,Deepika Padukone,Gal Gadot,[43],1
1465,Deepika Padukone,Katherine Langford,[43],1
1466,Denis Shmi,Aleksey Arestovich,[108],1
1467,Denis Shmi,Alexei Reznikov hội,[108],1
1468,Denis Shmi,Bộ Công nghiệp Chiến lược,[108],1
1469,Denis Shmi,Bộ Năng lượng,[108],1
1470,Denis Shmi,Bộ Phát triển Cộng đồng,[108],1
1471,Denis Shmi,Bộ Thanh niên và Thể thao,[108],1
1472,Denis Shmi,Cục Chống Tham nhũng Quốc gia Ukraina,[108],1
1473,Denis Shmi,German Galushchenko,[108],1
1474,Denis Shmi,Ivan Lukerya,[108],1
1475,Denis Shmi,Pavel Khalimon,[108],1
1476,Denis Shmi,Pavel Ryabikin,[108],1
1477,Denis Shmi,Vadim Gutzeit,[108],1
1478,Denis Shmi,Vasiliy Lozinsky,[108],1
1479,Denis Shmi,Vyacheslav Shapovalov,[108],1
1480,Denis Shmi,phương Tây,[108],1
1481,Denis Shmi,đảng Đầy tớ của Nhân dân,[108],1
1482,Denis Shmi,Ủy ban Olympic Quốc gia Ukraina,[108],1
1483,Denise Coates,Berghaus Anh,[91],1
1484,Denise Coates,Chỉ số Tỉ phú,[91],1
1485,Denise Coates,Công ty thương mại XTX Markets,[91],1
1486,Denise Coates,Deutsche Bank AG,[91],1
1487,Denise Coates,JK Rowling Potter,[91],1
1488,Denise Coates,New York,[91],1
1489,Denise Coates,Stephen Rubin,[91],1
1490,Denise Coates,Đại học Tổng hợp Mátxcơva,[91],1
1491,Denise Coates,Ấn Độ,[91],1
1492,Deutsche Bank,Bộ Kinh tế Đức,[102],1
1493,Deutsche Bank,Christian Leye,[102],1
1494,Deutsche Bank,Châu Âu,[102],1
1495,Deutsche Bank,Hà Lan,[102],1
1496,Deutsche Bank,Na Uy,[102],1
1497,Deutsche Bank,Nord Stream,[102],1
1498,Deutsche Bank,Olaf Scholz,[102],1
1499,Deutsche Bank,Viện IFO,[102],1
1500,Deutsche Bank,Viện nghiên cứu kinh tế IFO,[102],1
1501,Deutsche Bank,Đảng cánh tả Hạ viện Đức,[102],1
1502,Deutsche Bank AG,Chỉ số Tỉ phú,[91],1
1503,Deutsche Bank AG,Công ty thương mại XTX Markets,[91],1
1504,Deutsche Bank AG,New York,[91],1
1505,Deutsche Bank AG,Ấn Độ,[91],1
1506,Dharmender Gaur,Adarsh Katiyar,[105],1
1507,Dharmender Gaur,Bipin Rawat,[105],1
1508,Dharmender Gaur,India Times,[105],1
1509,Dharmender Gaur,Không quân Ấn Độ,[105],1
1510,Dharmender Gaur,Madhya Pradesh,[105],1
1511,Dharmender Gaur,bang Arunachal Pradesh,[105],1
1512,Dharmender Gaur,căn Gwalior,[105],1
1513,Dharmender Gaur,thị trấn Tawang,[105],1
1514,Diễn Châu,Bãi Vọt,[77],1
1515,Diễn Châu,Bộ Giao thông vận tải,[77],1
1516,Diễn Châu,Hàm Nghi,[77],1
1517,Diễn Châu,Hồ Chí Minh,[77],1
1518,Diễn Châu,Kim Liên,[77],1
1519,Diễn Châu,Nguyễn Văn Thắng,[77],1
1520,Diễn Châu,Ngã ba,[77],1
1521,Diễn Châu,cao tốc Bãi Vọt,[77],1
1522,Diễn Châu,cầu Thần Vũ,[77],1
1523,Diễn Châu,cầu Ồ Ồ,[77],1
1524,Diễn Châu,huyện Can Lộc,[77],1
1525,Diễn Châu,huyện Nam Đàn,[77],1
1526,Diễn Châu,hầm Thần Vũ,[77],1
1527,Diễn Châu,núi Chung,[77],1
1528,Diễn Châu,tỉnh Hà Tĩnh,[77],1
1529,Diễn Châu,xã Kim Liên,[77],1
1530,Diễn Châu,Đồng Lộc,[77],1
1531,Diễn Châu,đền Chung Sơn,[77],1
1532,Dmitry Kuleba,Joe Biden,[106],1
1533,Dmitry Kuleba,Lầu Năm Góc,[106],1
1534,Dmitry Peskov Tây,Brian Jack,[99],1
1535,Dmitry Peskov Tây,Chris LaCivita,[99],1
1536,Dmitry Peskov Tây,Dan Scavino,[99],1
1537,Dmitry Peskov Tây,Nhà Trắng,[99],1
1538,Dmitry Peskov Tây,Robert Collins,[99],1
1539,Dmitry Peskov Tây,Ron DeSantis,[99],1
1540,Dmitry Peskov Tây,Stephen Stepanek,[99],1
1541,Dmitry Peskov Tây,Đại học Dillard,[99],1
1542,Dmitry Peskov Tây,Đảng Cộng hòa,[99],1
1543,Dmitry Zhivitsky,Aleksey Arestovich,[108],1
1544,Dmitry Zhivitsky,Alexei Reznikov hội,[108],1
1545,Dmitry Zhivitsky,Bộ Công nghiệp Chiến lược,[108],1
1546,Dmitry Zhivitsky,Bộ Năng lượng,[108],1
1547,Dmitry Zhivitsky,Bộ Phát triển Cộng đồng,[108],1
1548,Dmitry Zhivitsky,Bộ Thanh niên và Thể thao,[108],1
1549,Dmitry Zhivitsky,Cục Chống Tham nhũng Quốc gia Ukraina,[108],1
1550,Dmitry Zhivitsky,Denis Shmi,[108],1
1551,Dmitry Zhivitsky,German Galushchenko,[108],1
1552,Dmitry Zhivitsky,Ivan Lukerya,[108],1
1553,Dmitry Zhivitsky,Pavel Khalimon,[108],1
1554,Dmitry Zhivitsky,Pavel Ryabikin,[108],1
1555,Dmitry Zhivitsky,Vadim Gutzeit,[108],1
1556,Dmitry Zhivitsky,Vasiliy Lozinsky,[108],1
1557,Dmitry Zhivitsky,Vyacheslav Shapovalov,[108],1
1558,Dmitry Zhivitsky,phương Tây,[108],1
1559,Dmitry Zhivitsky,đảng Đầy tớ của Nhân dân,[108],1
1560,Dmitry Zhivitsky,Ủy ban Olympic Quốc gia Ukraina,[108],1
1561,Donald Trump,Anatoly Antonov,[99],1
1562,Donald Trump,Brian Jack,[99],1
1563,Donald Trump,Bộ Tư pháp,[87],1
